0,1,2,3,4,5,6,7,8,9,10,11
0.0,34964.33984375,-74.49835205078125,35543.4921875,20267.107421875,24917.72265625,31625.255859375,15097.0146484375,54691.515625,0.0,1729392503734.356,0.0
1.0,34972.25,-110.43995666503906,35544.56640625,20269.38671875,24921.0078125,31630.888671875,15098.892578125,54685.81640625,0.0,1729392503738.476,0.0
2.0,34960.6484375,-145.5098419189453,35547.25,20269.654296875,24919.935546875,31629.546875,15100.3671875,54669.25390625,0.0,1729392503742.29,0.0
3.0,34962.19140625,-94.4808120727539,35547.44921875,20268.044921875,24916.984375,31624.451171875,15100.166015625,54682.73046875,0.0,1729392503746.377,0.0
4.0,34969.03125,-76.711181640625,35550.265625,20267.978515625,24915.44140625,31625.658203125,15100.099609375,54693.99609375,0.0,1729392503749.989,0.0
5.0,34963.19921875,-99.50995635986328,35558.91796875,20265.900390625,24914.705078125,31624.451171875,15102.982421875,54691.58203125,0.0,1729392503754.115,0.0
6.0,34956.76171875,-147.923828125,35553.88671875,20264.693359375,24914.771484375,31626.462890625,15105.9326171875,54659.73046875,0.0,1729392503757.687,0.0
7.0,34967.35546875,-106.68486022949219,35553.08203125,20266.369140625,24917.453125,31630.62109375,15108.7490234375,54663.95703125,0.0,1729392503761.762,0.0
8.0,34969.703125,-85.42835998535156,35557.9765625,20266.97265625,24917.251953125,31632.36328125,15109.3525390625,54677.90234375,0.0,1729392503765.871,0.0
9.0,34962.59375,-97.36418914794922,35553.8203125,20266.16796875,24915.30859375,31633.236328125,15109.017578125,54681.58984375,0.0,1729392503769.515,0.0
10.0,34967.15234375,-151.20953369140625,35549.796875,20264.08984375,24913.900390625,31636.857421875,15105.4638671875,54659.0625,0.0,1729392503773.608,0.0
11.0,34970.23828125,-132.23291015625,35548.72265625,20267.375,24917.587890625,31643.2265625,15110.7607421875,54662.48046875,0.0,1729392503777.242,0.0
12.0,34970.5078125,-67.52461242675781,35556.234375,20272.806640625,24922.416015625,31657.509765625,15116.259765625,54686.5546875,0.0,1729392503781.338,0.0
13.0,34972.18359375,-89.71989440917969,35558.11328125,20271.666015625,24921.611328125,31649.396484375,15113.443359375,54682.796875,0.0,1729392503785.437,0.0
