0,1,2,3,4,5,6,7,8,9,10,11
17.0,26170.71484375,9226.8662109375,17341.353515625,7964.95361328125,14084.48046875,12837.3876953125,-5139.3134765625,44670.78125,0.0,1729390992072.197,0.0
18.0,25675.982421875,9191.86328125,17327.13671875,7963.94775390625,14077.1044921875,12822.5009765625,-5144.27587890625,36281.16796875,0.0,1729390992076.318,0.0
19.0,25563.462890625,9195.0146484375,17327.47265625,7966.02685546875,14073.4833984375,12826.5244140625,-5144.07470703125,31436.697265625,0.0,1729390992079.967,0.0
20.0,26001.267578125,9228.7431640625,17338.8046875,7964.41748046875,14073.1484375,12829.2744140625,-5142.46533203125,38651.16796875,0.0,1729390992084.078,0.0
21.0,26230.193359375,9236.9248046875,17344.4375,7963.21044921875,14073.8193359375,12826.591796875,-5141.1240234375,45180.203125,0.0,1729390992087.737,0.0
22.0,25805.3984375,9202.2568359375,17332.3671875,7965.35595703125,14073.4833984375,12821.2939453125,-5146.42138671875,38967.06640625,0.0,1729390992091.915,0.0
23.0,25500.900390625,9185.158203125,17324.1875,7967.43505859375,14073.0810546875,12830.078125,-5151.7861328125,31468.75,0.0,1729390992095.541,0.0
24.0,25815.390625,9211.7119140625,17331.630859375,7965.55712890625,14074.958984375,12825.9208984375,-5148.298828125,36024.94921875,0.0,1729390992099.722,0.0
25.0,26191.033203125,9237.4609375,17346.650390625,7971.59228515625,14084.078125,12829.2744140625,-5134.955078125,44560.27734375,0.0,1729390992103.366,0.0
26.0,25924.623046875,9209.9677734375,17340.615234375,7975.2802734375,14079.25,12832.9619140625,-5136.564453125,41484.25,0.0,1729390992107.438,0.0
27.0,25514.4453125,9177.0439453125,17329.216796875,7969.78173828125,14068.3203125,12828.7373046875,-5145.21435546875,32580.255859375,0.0,1729390992111.495,0.0
28.0,25708.90625,9200.0439453125,17336.390625,7967.703125,14073.8857421875,12830.8828125,-5139.1796875,33713.9609375,0.0,1729390992115.369,0.0
29.0,26164.14453125,9229.4140625,17342.359375,7966.63037109375,14082.5361328125,12828.4697265625,-5131.9375,42922.38671875,0.0,1729390992118.96,0.0
30.0,26047.87109375,9209.5654296875,17341.5546875,7964.41748046875,14077.640625,12822.568359375,-5136.8994140625,43627.0703125,0.0,1729390992123.034,0.0
31.0,25547.974609375,9172.3505859375,17331.49609375,7962.875,14071.2705078125,12813.515625,-5141.59375,34555.63671875,0.0,1729390992127.079,0.0
0.0,25535.099609375,9183.75,17335.18359375,7962.40576171875,14071.0693359375,12818.076171875,-5141.5263671875,32078.146484375,0.0,1729390992130.834,0.0
1.0,26004.083984375,9222.9765625,17351.142578125,7964.685546875,14076.634765625,12818.8134765625,-5139.44775390625,40612.6015625,0.0,1729390992134.923,0.0
2.0,26128.537109375,9221.166015625,17350.13671875,7967.099609375,14078.982421875,12823.171875,-5138.1064453125,44934.84765625,0.0,1729390992138.625,0.0
3.0,25664.314453125,9181.134765625,17345.443359375,7963.34423828125,14070.3994140625,12825.5185546875,-5146.08642578125,36999.0625,0.0,1729390992142.677,0.0
4.0,25489.501953125,9180.93359375,17349.33203125,7960.662109375,14068.119140625,12823.9091796875,-5151.04833984375,31348.720703125,0.0,1729390992146.316,0.0
5.0,25902.830078125,9221.3671875,17358.921875,7963.34423828125,14079.853515625,12830.4140625,-5140.990234375,37983.96875,0.0,1729390992150.354,0.0
6.0,26179.03125,9233.3701171875,17359.45703125,7967.97119140625,14087.1630859375,12833.296875,-5132.138671875,45120.0546875,0.0,1729390992154.521,0.0
7.0,25798.4921875,9192.265625,17349.466796875,7970.2509765625,14086.291015625,12833.431640625,-5136.49755859375,39647.140625,0.0,1729390992158.127,0.0
8.0,25455.572265625,9180.8662109375,17344.83984375,7971.7265625,14087.4306640625,12834.1015625,-5139.04541015625,31694.12109375,0.0,1729390992162.239,0.0
9.0,25787.091796875,9212.3818359375,17357.177734375,7968.10546875,14089.107421875,12826.6591796875,-5134.08349609375,35417.296875,0.0,1729390992166.043,0.0
10.0,26200.755859375,9237.9970703125,17366.6328125,7968.0380859375,14090.2470703125,12836.7841796875,-5128.85302734375,44250.94921875,0.0,1729390992170.136,0.0
11.0,25956.33984375,9211.1083984375,17364.017578125,7965.95947265625,14084.1455078125,12835.5771484375,-5132.7421875,42127.37890625,0.0,1729390992173.831,0.0
12.0,25523.96875,9181.4697265625,17354.83203125,7965.22216796875,14075.8310546875,12824.177734375,-5137.97265625,33052.05859375,0.0,1729390992177.931,0.0
13.0,25664.248046875,9203.732421875,17359.45703125,7967.03271484375,14079.98828125,12831.017578125,-5134.82080078125,33241.6875,0.0,1729390992181.593,0.0
14.0,26130.28125,9226.53125,17364.017578125,7965.55712890625,14081.1279296875,12823.9091796875,-5135.9609375,42378.5,0.0,1729390992185.67,0.0
15.0,26087.8359375,9203.0615234375,17350.40625,7966.49609375,14078.78125,12812.845703125,-5144.00732421875,44071.77734375,0.0,1729390992189.261,0.0
16.0,25602.220703125,9180.1953125,17350.0703125,7977.2919921875,14086.0234375,12826.6591796875,-5140.38671875,35188.30078125,0.0,1729390992193.295,0.0
17.0,25579.892578125,9197.4287109375,17357.244140625,7982.38818359375,14096.953125,12825.2509765625,-5136.49755859375,31816.630859375,0.0,1729390992197.37,0.0
18.0,26043.98046875,9229.212890625,17362.140625,7973.40283203125,14098.361328125,12820.8251953125,-5144.20849609375,39969.9453125,0.0,1729390992201.011,0.0
19.0,26185.6015625,9225.6591796875,17360.798828125,7973.2685546875,14099.2998046875,12821.96484375,-5144.9462890625,45106.91015625,0.0,1729390992205.171,0.0
