0,1,2,3,4,5,6,7,8,9,10,11
0.0,17649.404296875,16685.41796875,27402.38671875,15002.5341796875,19048.712890625,22299.818359375,6635.3828125,31679.97265625,0.0,1729391706118.297,0.0
1.0,17674.349609375,16695.87890625,27409.359375,15003.9423828125,19048.244140625,22304.78125,6640.412109375,31875.572265625,0.0,1729391706121.96,0.0
2.0,17684.67578125,16698.427734375,27409.896484375,15004.6796875,19047.439453125,22301.025390625,6640.3447265625,31885.498046875,0.0,1729391706126.115,0.0
3.0,17655.70703125,16684.345703125,27404.3984375,15000.3212890625,19043.080078125,22290.23046875,6632.365234375,31676.083984375,0.0,1729391706129.775,0.0
4.0,17645.783203125,16684.546875,27407.818359375,15000.3212890625,19044.421875,22291.90625,6634.31005859375,31660.056640625,0.0,1729391706133.849,0.0
5.0,17660.267578125,16693.130859375,27414.052734375,15003.673828125,19048.244140625,22299.818359375,6639.9423828125,31849.220703125,0.0,1729391706137.589,0.0
6.0,17673.34375,16693.666015625,27414.724609375,15002.1318359375,19047.23828125,22300.82421875,6637.39453125,31937.3984375,0.0,1729391706141.673,0.0
7.0,17658.5234375,16684.345703125,27409.6953125,14999.44921875,19044.0859375,22298.142578125,6631.29248046875,31756.21484375,0.0,1729391706145.388,0.0
8.0,17645.650390625,16682.87109375,27414.455078125,14998.64453125,19042.8125,22296.265625,6630.8232421875,31658.91796875,0.0,1729391706149.507,0.0
9.0,17664.4921875,16692.2578125,27419.8203125,14998.1083984375,19043.013671875,22302.76953125,6633.70654296875,31800.001953125,0.0,1729391706153.126,0.0
10.0,17689.4375,16699.970703125,27423.240234375,15000.857421875,19045.494140625,22309.072265625,6637.39453125,31939.9453125,0.0,1729391706157.21,0.0
11.0,17681.390625,16691.185546875,27419.619140625,14999.1806640625,19042.611328125,22307.865234375,6633.70654296875,31802.55078125,0.0,1729391706161.253,0.0
12.0,17656.9140625,16683.876953125,27417.875,14998.845703125,19041.13671875,22304.982421875,6631.560546875,31649.6640625,0.0,1729391706164.985,0.0
13.0,17675.48828125,16692.794921875,27422.97265625,15003.4052734375,19045.494140625,22310.01171875,6638.5341796875,31751.72265625,0.0,1729391706168.999,0.0
14.0,17696.275390625,16700.373046875,27426.59375,15003.673828125,19048.712890625,22313.36328125,6643.22802734375,31924.255859375,0.0,1729391706172.64,0.0
15.0,17688.498046875,16695.74609375,27424.1796875,15001.4609375,19046.96875,22309.005859375,6639.80859375,31860.216796875,0.0,1729391706176.753,0.0
16.0,17661.876953125,16680.45703125,27420.826171875,15001.4609375,19045.2265625,22302.03125,6632.96875,31658.650390625,0.0,1729391706180.85,0.0
17.0,17656.712890625,16673.68359375,27422.30078125,14997.4375,19042.4765625,22303.171875,6631.49365234375,31686.0078125,0.0,1729391706184.499,0.0
18.0,17685.681640625,16698.16015625,27419.283203125,15001.86328125,19050.12109375,22311.75390625,6641.41796875,31881.072265625,0.0,1729391706188.661,0.0
19.0,17688.095703125,16701.712890625,27423.306640625,15001.5283203125,19050.5234375,22312.224609375,6640.88134765625,31904.40625,0.0,1729391706192.391,0.0
20.0,17662.01171875,16689.375,27422.435546875,15001.86328125,19049.048828125,22309.609375,6637.39453125,31703.107421875,0.0,1729391706196.468,0.0
21.0,17658.255859375,16686.423828125,27423.10546875,15000.7236328125,19048.376953125,22310.345703125,6635.71826171875,31656.638671875,0.0,1729391706200.079,0.0
22.0,17682.328125,16695.34375,27426.458984375,14998.5107421875,19050.1875,22317.857421875,6638.06494140625,31838.826171875,0.0,1729391706204.144,0.0
23.0,17692.587890625,16699.298828125,27428.068359375,14998.041015625,19050.1875,22318.99609375,6638.26611328125,31939.677734375,0.0,1729391706207.806,0.0
24.0,17666.5703125,16692.125,27425.85546875,14996.4990234375,19049.986328125,22313.431640625,6636.25439453125,31754.337890625,0.0,1729391706211.938,0.0
25.0,17657.25,16688.90625,27425.51953125,14996.4990234375,19049.919921875,22313.431640625,6637.3271484375,31640.275390625,0.0,1729391706215.843,0.0
26.0,17686.552734375,16696.416015625,27428.470703125,14995.9619140625,19050.92578125,22315.509765625,6641.88720703125,31779.751953125,0.0,1729391706219.905,0.0
27.0,17700.298828125,16700.505859375,27427.666015625,14994.755859375,19054.14453125,22324.830078125,6647.05029296875,31928.412109375,0.0,1729391706223.531,0.0
28.0,17682.462890625,16691.923828125,27424.71484375,14994.2861328125,19053.2734375,22324.763671875,6644.83740234375,31807.04296875,0.0,1729391706227.68,0.0
