0,1,2,3,4,5,6,7,8,9,10,11
17.0,23697.986328125,11331.796875,22557.779296875,13638.1611328125,17917.693359375,17301.791015625,-1884.385986328125,44516.21875,0.0,1729391238065.631,0.0
18.0,23764.3046875,11344.939453125,22564.28515625,13638.294921875,17917.625,17297.69921875,-1881.368408203125,45806.49609375,0.0,1729391238069.281,0.0
19.0,23769.6015625,11344.4697265625,22565.625,13637.423828125,17914.541015625,17289.18359375,-1882.0390625,46174.4296875,0.0,1729391238073.401,0.0
20.0,23700.87109375,11333.1376953125,22559.9921875,13635.5458984375,17910.048828125,17286.76953125,-1885.6600341796875,44833.9296875,0.0,1729391238077.537,0.0
21.0,23688.935546875,11335.9541015625,22557.578125,13635.2109375,17907.5,17289.98828125,-1886.93408203125,44310.02734375,0.0,1729391238081.227,0.0
22.0,23747.474609375,11348.158203125,22561.53515625,13634.607421875,17908.23828125,17292.939453125,-1882.0390625,45450.63671875,0.0,1729391238085.352,0.0
23.0,23781.203125,11353.052734375,22563.61328125,13631.58984375,17907.1640625,17290.123046875,-1880.4967041015625,46297.33984375,0.0,1729391238089.108,0.0
24.0,23719.244140625,11340.5810546875,22554.962890625,13629.4443359375,17901.46484375,17288.111328125,-1885.3917236328125,45226.203125,0.0,1729391238092.985,0.0
25.0,23685.716796875,11334.1435546875,22553.623046875,13627.0966796875,17898.515625,17291.330078125,-1887.6046142578125,44263.15234375,0.0,1729391238097.029,0.0
26.0,23732.453125,11343.93359375,22560.39453125,13628.7734375,17902.470703125,17288.6484375,-1882.5084228515625,45087.1953125,0.0,1729391238100.64,0.0
27.0,23775.1015625,11349.0302734375,22564.28515625,13629.7119140625,17903.4765625,17290.525390625,-1880.9661865234375,46230.48828125,0.0,1729391238104.701,0.0
28.0,23724.67578125,11339.10546875,22562.474609375,13631.388671875,17905.623046875,17291.396484375,-1883.71533203125,45631.21484375,0.0,1729391238108.837,0.0
29.0,23668.080078125,11329.181640625,22558.181640625,13633.265625,17906.494140625,17286.63671875,-1886.53173828125,44370.0390625,0.0,1729391238112.554,0.0
30.0,23703.552734375,11336.625,22561.267578125,13630.6513671875,17904.953125,17293.408203125,-1885.0565185546875,44737.90625,0.0,1729391238116.365,0.0
31.0,23764.23828125,11349.6337890625,22567.50390625,13630.2490234375,17906.2265625,17294.81640625,-1880.4967041015625,46026.171875,0.0,1729391238121.124,0.0
0.0,23750.357421875,11346.6826171875,22566.162109375,13629.8466796875,17907.1640625,17284.7578125,-1880.2955322265625,45992.84375,0.0,1729391238124.277,0.0
1.0,23674.78515625,11332.19921875,22560.126953125,13627.8349609375,17904.1484375,17277.583984375,-1884.31884765625,44609.09375,0.0,1729391238128.19,0.0
2.0,23675.58984375,11333.875,22561.1328125,13625.0185546875,17900.66015625,17282.478515625,-1884.72119140625,44457.4140625,0.0,1729391238132.042,0.0
3.0,23737.6171875,11348.8955078125,22564.6875,13624.2138671875,17901.197265625,17290.390625,-1880.02734375,45732.46875,0.0,1729391238135.869,0.0
4.0,23759.41015625,11354.86328125,22566.162109375,13624.6162109375,17904.1484375,17292.26953125,-1876.4063720703125,46224.51953125,0.0,1729391238139.653,0.0
5.0,23683.63671875,11340.3125,22560.39453125,13623.744140625,17903.8125,17288.177734375,-1880.3626708984375,44925.9296875,0.0,1729391238144.005,0.0
6.0,23658.08984375,11337.5634765625,22560.595703125,13623.8779296875,17905.287109375,17288.580078125,-1880.6978759765625,44295.2734375,0.0,1729391238147.61,0.0
