CP3,C3,F5,PO3,PO4,F6,C4,CP4
-29649.205078125,-4668.51904296875,-12038.2236328125,-25737.806640625,-14914.0205078125,-14698.37109375,-7917.9482421875,-17434.224609375
-29931.708984375,-2776.823974609375,-22037.6328125,-26084.68359375,-15208.9970703125,-14474.6083984375,-11881.783203125,-17702.244140625
-31004.32421875,4059.657470703125,3249.965576171875,-27264.72265625,-16357.6533203125,-14383.14453125,4337.9365234375,-18756.75390625
-30763.998046875,2246.35009765625,11139.4150390625,-26973.232421875,-16099.7587890625,-14512.29296875,7359.84765625,-18524.810546875
-29865.861328125,-3121.152587890625,-4534.4755859375,-25984.16796875,-15152.201171875,-14576.8671875,-3304.749755859375,-17648.80078125
-29575.779296875,-4592.54541015625,-23981.36328125,-25699.51953125,-14845.69140625,-14420.7626953125,-13719.7001953125,-17358.720703125
-30790.3515625,3056.51123046875,-3329.023681640625,-27054.90625,-16139.1865234375,-14271.8330078125,373.5646667480469,-18557.66796875
-30849.025390625,3270.685791015625,11886.142578125,-27089.70703125,-16197.927734375,-14374.7626953125,8012.16064453125,-18617.48046875
-30120.8046875,-1473.0020751953125,2123.035400390625,-26272.638671875,-15416.2646484375,-14450.4677734375,567.555419921875,-17899.185546875
-29405.728515625,-5604.9453125,-22251.404296875,-25505.326171875,-14649.2197265625,-14367.587890625,-13574.123046875,-17187.86328125
-30502.55078125,1176.349853515625,-11096.4326171875,-26748.26171875,-15823.423828125,-14167.62890625,-4711.03173828125,-18266.580078125
-30985.951171875,4027.672119140625,10828.94921875,-27256.7421875,-16337.87109375,-14269.150390625,7601.7158203125,-18747.76953125
-30434.958984375,33.99699783325195,7015.384765625,-26631.05078125,-15743.9638671875,-14377.712890625,3615.081298828125,-18205.828125
-29481.701171875,-5507.9833984375,-17270.341796875,-25594.779296875,-14730.1552734375,-14328.830078125,-11119.5,-17262.763671875
-30207.640625,-1171.656005859375,-18193.357421875,-26436.1875,-15506.6552734375,-14156.4306640625,-9376.734375,-17981.26171875
-30716.92578125,1326.2852783203125,10266.4228515625,-26945.5390625,-16035.318359375,-14376.439453125,5829.11083984375,-18483.90625
-29784.9921875,-4573.30029296875,-10525.9267578125,-25912.75390625,-15035.591796875,-14464.013671875,-7531.44189453125,-17564.177734375
-31020.41796875,3950.15625,1927.167236328125,-27324.46875,-16365.69921875,-14148.853515625,2623.803955078125,-18788.404296875
-30805.439453125,2642.71337890625,11771.142578125,-27061.87890625,-16135.23046875,-14151.06640625,6785.720703125,-18578.72265625
-29830.92578125,-2611.6669921875,-2588.130615234375,-25994.025390625,-15103.384765625,-13965.8603515625,-8922.435546875,-17621.7109375
-29276.04296875,-4951.4248046875,-24061.896484375,-25432.169921875,-14528.7890625,-13611.00390625,-37305.4375,-17080.240234375
-30542.24609375,2666.31689453125,-5498.26025390625,-26840.12890625,-15881.29296875,-13510.2197265625,-15671.7451171875,-18327.19921875
-30455.87890625,3885.649169921875,12090.99609375,-26736.326171875,-15804.1787109375,-13458.654296875,7065.1396484375,-18234.39453125
-29461.5859375,-527.322265625,4031.293212890625,-25653.65234375,-14760.263671875,-13343.453125,-1253.8656005859375,-17247.4765625
-28397.6875,-5221.59033203125,-21012.15625,-24527.52734375,-13640.84375,-13210.28125,-30624.9921875,-16190.08203125
-29823.482421875,582.843994140625,-13446.517578125,-26091.255859375,-15134.431640625,-13477.83203125,-21779.40234375,-17595.55859375
-30549.0859375,4130.6689453125,9844.7802734375,-26847.771484375,-15898.861328125,-13771.3330078125,6970.45751953125,-18315.330078125
-29687.6953125,756.3158569335938,8254.900390625,-25913.826171875,-14992.4755859375,-13629.779296875,5714.58056640625,-17463.125
-28100.029296875,-4618.16064453125,-14850.7880859375,-24239.525390625,-13345.263671875,-13088.6435546875,-21554.09765625,-15892.4912109375
