CP3,C3,F5,PO3,PO4,F6,C4,CP4
-5283.61669921875,13807.8779296875,16980.39453125,12998.521484375,12462.6162109375,41864.12109375,37253.40234375,-18946.587890625
-5071.11865234375,12442.7001953125,18922.91796875,13196.669921875,13426.802734375,52544.00390625,38663.70703125,-19042.947265625
-5132.40673828125,10847.0546875,16733.564453125,13186.208984375,13041.6376953125,53587.921875,37001.140625,-19018.470703125
-5479.8203125,10615.78125,13782.59765625,12870.5126953125,11880.978515625,43158.28515625,33986.5390625,-19117.712890625
-5693.72607421875,10952.5322265625,14825.10546875,12583.1142578125,11916.3173828125,41204.02734375,33819.83984375,-19490.205078125
-5840.91259765625,10657.0869140625,16938.552734375,12353.115234375,12617.8486328125,50206.19140625,34891.91796875,-20028.12109375
-6103.43359375,10101.7353515625,15686.6982421875,12351.8408203125,12558.9072265625,53535.88671875,34146.3984375,-20055.48046875
-6090.55908203125,10494.947265625,13080.9990234375,12521.423828125,11817.544921875,44474.3125,32025.978515625,-19666.962890625
-5947.59716796875,11280.2314453125,13734.1171875,12500.9716796875,11669.7548828125,38622.40234375,31680.84375,-19702.970703125
-5736.2392578125,11082.0830078125,16059.9951171875,12522.7646484375,12568.4287109375,46003.1015625,32849.21484375,-19925.19140625
-5756.8251953125,11088.7880859375,15994.6826171875,12586.5341796875,12951.515625,52902.1484375,32656.431640625,-19949.265625
-6024.0400390625,8606.60546875,13273.984375,12334.40625,11913.7685546875,46394.3046875,30488.40234375,-20007.87109375
-6280.392578125,6564.572265625,12458.66015625,12028.43359375,11159.5322265625,37716.75390625,29485.1875,-20210.9140625
-6173.3720703125,5987.8974609375,14672.689453125,12064.6435546875,11935.9638671875,42150.78125,30408.001953125,-20374.328125
-6120.8681640625,4854.79833984375,15587.1884765625,12223.2958984375,12741.7666015625,50984.3671875,30675.216796875,-20379.357421875
-6291.7919921875,3433.6298828125,13486.4150390625,12193.7919921875,12188.896484375,48151.484375,28881.625,-20314.11328125
-6417.9228515625,2067.24560546875,12050.830078125,12092.671875,11436.6708984375,38361.69140625,27519.666015625,-20260.267578125
-6349.25830078125,1487.0167236328125,13721.98046875,12148.4619140625,11988.8037109375,39237.43359375,28020.03125,-20329.736328125
-6315.66357421875,1142.352783203125,15152.0,12195.8037109375,12806.005859375,48642.0625,28601.53515625,-20466.595703125
-6534.12939453125,-549.6516723632812,13660.9599609375,12045.0634765625,12434.51953125,49370.01171875,27090.84765625,-20528.017578125
-6821.1259765625,-2645.261474609375,11610.947265625,11852.6142578125,11471.3388671875,39356.7890625,25303.69140625,-20536.1328125
-6739.65380859375,-3835.8271484375,12498.2890625,11807.486328125,11620.2685546875,36363.71484375,25064.037109375,-20640.3359375
-6569.46728515625,-4407.1376953125,14499.75390625,11973.2470703125,12645.408203125,45060.23828125,25735.19140625,-20665.146484375
-6564.6396484375,-5587.24267578125,13987.2509765625,12093.5439453125,12839.130859375,49594.515625,25326.154296875,-20541.162109375
-6897.6357421875,-6655.83447265625,11787.1689453125,11868.9091796875,11859.2529296875,41509.26171875,23771.48046875,-20549.87890625
-7115.63232421875,-7271.4013671875,11752.970703125,11640.8544921875,11506.4755859375,35249.79296875,23064.515625,-20709.939453125
-6968.51318359375,-7130.45166015625,13658.5458984375,11703.6845703125,12373.56640625,42052.87890625,21854.37109375,-20788.05859375
-7088.00537109375,-7204.279296875,13782.396484375,11715.486328125,12733.384765625,49390.66796875,19257.857421875,-20825.072265625
