0,1,2,3,4,5,6,7,8,9,10,11
0.0,-10712.5419921875,1163.810546875,37238.8515625,-14290.8095703125,-4945.32275390625,22414.1484375,828.4002685546875,-4349.26904296875,0.0,1727651582417.22,0.0
1.0,-10712.4072265625,1000.0616455078125,37165.15625,-14289.4013671875,-4944.11572265625,21600.90234375,651.1732788085938,-4351.146484375,0.0,1727651582421.325,0.0
2.0,-10711.669921875,874.1318969726562,37180.4453125,-14289.6025390625,-4943.78076171875,19611.171875,526.4505615234375,-4351.07958984375,0.0,1727651582424.992,0.0
3.0,-10703.220703125,1021.9887084960938,37265.47265625,-14281.1533203125,-4933.38720703125,20078.94921875,685.3043823242188,-4339.88134765625,0.0,1727651582429.077,0.0
4.0,-10699.8681640625,1181.848388671875,37275.26171875,-14277.1298828125,-4930.1015625,22200.2421875,855.2894287109375,-4336.5283203125,0.0,1727651582432.668,0.0
5.0,-10700.8740234375,1070.000244140625,37163.94921875,-14278.1357421875,-4931.17431640625,22234.439453125,750.6162109375,-4338.67431640625,0.0,1727651582436.717,0.0
6.0,-10701.74609375,887.8111572265625,37115.60546875,-14277.5322265625,-4930.0341796875,20098.73046875,546.0307006835938,-4339.9482421875,0.0,1727651582440.787,0.0
7.0,-10701.41015625,951.5806884765625,37180.9140625,-14276.52734375,-4928.0224609375,19669.2421875,612.080078125,-4337.9365234375,0.0,1727651582444.409,0.0
8.0,-10701.2763671875,1138.3294677734375,37218.265625,-14275.8564453125,-4926.54736328125,21693.83984375,819.6160278320312,-4335.58984375,0.0,1727651582448.513,0.0
9.0,-10700.2705078125,1093.53662109375,37156.171875,-14274.58203125,-4925.94384765625,22534.779296875,799.0300903320312,-4335.7236328125,0.0,1727651582452.14,0.0
10.0,-10701.8798828125,906.9889526367188,37115.3359375,-14274.6494140625,-4926.34619140625,20601.109375,561.7886962890625,-4338.9423828125,0.0,1727651582456.275,0.0
11.0,-10704.96484375,894.9190673828125,37180.1796875,-14279.8798828125,-4933.6552734375,19423.75390625,544.9578247070312,-4343.10009765625,0.0,1727651582460.392,0.0
12.0,-10705.166015625,1089.177978515625,37235.1640625,-14279.8125,-4932.8505859375,21048.166015625,754.8406982421875,-4342.29541015625,0.0,1727651582464.04,0.0
13.0,-10702.55078125,1137.055419921875,37191.44140625,-14274.6494140625,-4926.279296875,22550.26953125,820.7559814453125,-4339.009765625,0.0,1727651582468.155,0.0
14.0,-10701.41015625,958.2191772460938,37146.6484375,-14272.6376953125,-4924.46875,21140.43359375,593.9751586914062,-4338.607421875,0.0,1727651582471.792,0.0
15.0,-10701.4775390625,896.0589599609375,37199.22265625,-14273.30859375,-4925.6083984375,19384.591796875,501.9083557128906,-4338.9423828125,0.0,1727651582475.897,0.0
16.0,-10701.0751953125,1071.94482421875,37270.96875,-14272.90625,-4921.98779296875,20428.0390625,706.4268188476562,-4335.58984375,0.0,1727651582479.552,0.0
17.0,-10698.728515625,1171.3876953125,37254.40625,-14268.94921875,-4916.8916015625,22440.232421875,851.4002075195312,-4331.56640625,0.0,1727651582483.774,0.0
18.0,-10698.392578125,1010.4552001953125,37206.796875,-14267.33984375,-4918.76904296875,21837.94140625,678.196533203125,-4334.24853515625,0.0,1727651582487.405,0.0
19.0,-10701.611328125,867.5604858398438,37236.5703125,-14270.8271484375,-4922.18896484375,19784.041015625,518.2027587890625,-4337.1318359375,0.0,1727651582491.477,0.0
20.0,-10701.8798828125,982.8955078125,37328.97265625,-14269.6875,-4920.244140625,20046.091796875,662.1703491210938,-4334.583984375,0.0,1727651582495.145,0.0
21.0,-10701.611328125,1154.4227294921875,37363.10546875,-14270.291015625,-4920.244140625,22172.34765625,847.5780639648438,-4333.84619140625,0.0,1727651582499.233,0.0
22.0,-10700.8740234375,1072.8836669921875,37309.66015625,-14269.28515625,-4919.57373046875,22400.736328125,756.3829345703125,-4333.84619140625,0.0,1727651582503.33,0.0
23.0,-10699.6669921875,888.2805786132812,37285.65625,-14266.1337890625,-4916.623046875,20321.421875,555.1502075195312,-4332.572265625,0.0,1727651582506.978,0.0
24.0,-10699.599609375,946.8868408203125,37348.890625,-14265.7314453125,-4914.94677734375,19669.845703125,599.0043334960938,-4329.68896484375,0.0,1727651582511.188,0.0
25.0,-10700.4716796875,1141.8834228515625,37392.40625,-14268.078125,-4916.421875,21592.921875,819.68310546875,-4329.89013671875,0.0,1727651582514.801,0.0
26.0,-10699.935546875,1113.787353515625,37336.953125,-14268.078125,-4918.97021484375,22567.16796875,801.041748046875,-4333.04150390625,0.0,1727651582518.922,0.0
27.0,-10699.935546875,903.5021362304688,37279.28515625,-14268.48046875,-4921.11572265625,20766.33203125,572.5845947265625,-4336.7294921875,0.0,1727651582522.619,0.0
28.0,-10700.4716796875,885.598388671875,37321.53125,-14268.0107421875,-4921.31689453125,19445.880859375,535.972412109375,-4337.46728515625,0.0,1727651582526.772,0.0
29.0,-10700.94140625,1070.4696044921875,37377.65625,-14268.48046875,-4922.255859375,20952.41015625,746.1234741210938,-4337.86962890625,0.0,1727651582530.402,0.0
30.0,-10700.0693359375,1130.4840087890625,37344.46484375,-14269.955078125,-4923.32861328125,22577.091796875,816.6655883789062,-4338.1376953125,0.0,1727651582534.49,0.0
31.0,-10699.2646484375,956.7439575195312,37276.40234375,-14270.55859375,-4924.669921875,21361.515625,607.98974609375,-4339.009765625,0.0,1727651582538.111,0.0
0.0,-10701.544921875,875.003662109375,37289.94921875,-14273.0400390625,-4929.900390625,19464.322265625,488.698486328125,-4342.02685546875,0.0,1727651582542.032,0.0
1.0,-10702.4833984375,1031.57763671875,37353.6484375,-14273.77734375,-4932.98486328125,20251.884765625,658.5493774414062,-4344.23974609375,0.0,1727651582546.146,0.0
2.0,-10703.421875,1144.4315185546875,37342.85546875,-14274.984375,-4935.80126953125,22285.40234375,810.027099609375,-4347.1904296875,0.0,1727651582549.84,0.0
3.0,-10701.544921875,1002.0062255859375,37270.03125,-14271.6318359375,-4931.17431640625,21866.5078125,664.9196166992188,-4345.84912109375,0.0,1727651582554.026,0.0
4.0,-10699.4658203125,859.4468383789062,37260.30859375,-14269.4189453125,-4927.75439453125,19711.62109375,480.98712158203125,-4343.10009765625,0.0,1727651582557.665,0.0
5.0,-10700.337890625,962.3095092773438,37323.80859375,-14271.6318359375,-4931.71044921875,19692.041015625,588.141357421875,-4344.9775390625,0.0,1727651582561.756,0.0
6.0,-10700.60546875,1126.058349609375,37348.8203125,-14273.2412109375,-4934.19189453125,21817.154296875,789.441162109375,-4345.3125,0.0,1727651582565.805,0.0
7.0,-10701.2763671875,1054.912841796875,37280.828125,-14274.4482421875,-4935.33154296875,22273.3984375,730.0302124023438,-4346.5869140625,0.0,1727651582569.422,0.0
8.0,-10702.818359375,875.3389282226562,37249.71484375,-14277.80078125,-4937.6787109375,20211.31640625,515.9899291992188,-4347.7265625,0.0,1727651582573.481,0.0
9.0,-10702.953125,909.7382202148438,37308.12109375,-14276.4599609375,-4934.79541015625,19395.65625,549.4505004882812,-4346.1171875,0.0,1727651582577.541,0.0
10.0,-10702.6845703125,1099.571533203125,37358.0078125,-14275.990234375,-4935.0634765625,21278.03125,770.6657104492188,-4346.1845703125,0.0,1727651582581.12,0.0
