0,1,2,3,4,5,6,7,8,9,10,11
2.0,18634.04296875,3855.072021484375,22485.361328125,-786.28955078125,9904.2578125,8883.07421875,-250.04893493652344,10621.212890625,0.0,1727915084203.966,0.0
3.0,18630.82421875,3853.3955078125,22488.580078125,-787.6306762695312,9902.1123046875,8883.2080078125,-316.29949951171875,10616.65234375,0.0,1727915084207.791,0.0
4.0,18631.361328125,3852.32275390625,22491.462890625,-787.5635986328125,9899.83203125,8883.54296875,-228.05482482910156,10615.4453125,0.0,1727915084211.942,0.0
5.0,18629.88671875,3851.585205078125,22492.267578125,-787.7647705078125,9898.22265625,8881.3974609375,-137.2620391845703,10613.7021484375,0.0,1727915084215.595,0.0
6.0,18626.064453125,3850.042724609375,22491.26171875,-788.1671142578125,9897.619140625,8877.7099609375,-212.6321258544922,10607.533203125,0.0,1727915084219.683,0.0
7.0,18624.455078125,3849.90869140625,22492.802734375,-788.6365356445312,9897.8203125,8877.3076171875,-315.0924987792969,10605.3876953125,0.0,1727915084223.792,0.0
8.0,18625.662109375,3851.384033203125,22497.02734375,-789.7094116210938,9897.552734375,8878.5146484375,-245.89151000976562,10604.6494140625,0.0,1727915084227.334,0.0
9.0,18626.80078125,3852.9931640625,22498.63671875,-789.843505859375,9896.2109375,8878.7822265625,-130.5565185546875,10604.314453125,0.0,1727915084231.395,0.0
10.0,18625.392578125,3852.5908203125,22499.107421875,-788.7035522460938,9896.2783203125,8878.3798828125,-180.71383666992188,10603.0400390625,0.0,1727915084235.16,0.0
11.0,18626.265625,3852.1884765625,22502.861328125,-785.8872680664062,9897.75390625,8878.24609375,-310.8680114746094,10601.9677734375,0.0,1727915084239.219,0.0
12.0,18628.6796875,3852.5908203125,22504.740234375,-785.8201904296875,9896.2783203125,8879.1845703125,-289.3432922363281,10603.4423828125,0.0,1727915084242.881,0.0
13.0,18632.03125,3855.340087890625,22508.025390625,-785.149658203125,9897.0830078125,8879.05078125,-162.87713623046875,10604.8505859375,0.0,1727915084246.977,0.0
14.0,18631.5625,3856.8154296875,22508.896484375,-784.6802368164062,9896.546875,8876.3017578125,-160.9325408935547,10602.6376953125,0.0,1727915084251.069,0.0
15.0,18628.6796875,3856.279052734375,22508.16015625,-785.6860961914062,9894.9375,8876.033203125,-288.8068542480469,10599.822265625,0.0,1727915084254.735,0.0
16.0,18630.220703125,3857.0166015625,22508.091796875,-785.9542846679688,9894.4677734375,8879.85546875,-316.8359375,10602.6376953125,0.0,1727915084258.899,0.0
17.0,18632.3671875,3858.4248046875,22510.70703125,-785.149658203125,9896.546875,8883.54296875,-191.17445373535156,10609.947265625,0.0,1727915084262.652,0.0
18.0,18631.830078125,3857.4189453125,22511.98046875,-784.344970703125,9900.234375,8887.767578125,-134.84805297851562,10614.57421875,0.0,1727915084266.724,0.0
19.0,18626.869140625,3855.6083984375,22511.84765625,-786.28955078125,9903.251953125,8890.3828125,-245.824462890625,10614.640625,0.0,1727915084270.336,0.0
20.0,18625.4609375,3854.066162109375,22513.658203125,-788.4353637695312,9902.9169921875,8889.9130859375,-325.9554443359375,10614.775390625,0.0,1727915084274.419,0.0
21.0,18626.533203125,3854.937744140625,22516.138671875,-790.5811157226562,9900.7041015625,8891.5224609375,-233.6204071044922,10615.580078125,0.0,1727915084278.073,0.0
22.0,18627.47265625,3854.937744140625,22517.546875,-793.1292114257812,9897.8876953125,8893.6015625,-152.48358154296875,10614.037109375,0.0,1727915084282.177,0.0
23.0,18623.515625,3851.786376953125,22517.814453125,-795.0737915039062,9895.138671875,8888.572265625,-243.54458618164062,10607.3994140625,0.0,1727915084286.284,0.0
24.0,18620.56640625,3849.573486328125,22515.46875,-796.88427734375,9893.0595703125,8885.8232421875,-346.7425842285156,10604.515625,0.0,1727915084289.935,0.0
25.0,18621.4375,3850.91455078125,22516.205078125,-797.0184326171875,9890.712890625,8886.6953125,-289.4774169921875,10605.2529296875,0.0,1727915084294.069,0.0
26.0,18623.716796875,3852.859130859375,22515.19921875,-795.744384765625,9888.9697265625,8886.896484375,-158.6526641845703,10604.3818359375,0.0,1727915084297.712,0.0
27.0,18622.912109375,3852.72509765625,22513.859375,-794.537353515625,9887.3603515625,8885.0859375,-200.22689819335938,10600.626953125,0.0,1727915084301.812,0.0
28.0,18619.626953125,3849.90869140625,22515.267578125,-796.88427734375,9882.7998046875,8879.3857421875,-328.3023986816406,10594.5244140625,0.0,1727915084305.459,0.0
29.0,18620.296875,3849.30517578125,22515.333984375,-798.0242309570312,9880.453125,8877.9775390625,-315.6289367675781,10593.9208984375,0.0,1727915084309.557,0.0
30.0,18624.119140625,3851.450927734375,22515.669921875,-798.2254028320312,9879.1796875,8879.3857421875,-196.00242614746094,10594.658203125,0.0,1727915084313.281,0.0
31.0,18623.44921875,3851.384033203125,22516.205078125,-797.8230590820312,9878.84375,8881.53125,-173.40481567382812,10593.384765625,0.0,1727915084317.384,0.0
0.0,18619.08984375,3848.567626953125,22517.412109375,-797.08544921875,9876.966796875,8878.849609375,-290.8185119628906,10587.751953125,0.0,1727915084321.237,0.0
1.0,18616.072265625,3845.818359375,22516.072265625,-798.5606689453125,9874.4853515625,8874.423828125,-317.037109375,10584.130859375,0.0,1727915084324.926,0.0
2.0,18614.798828125,3842.93505859375,22511.04296875,-801.4440307617188,9871.8701171875,8873.5517578125,-203.64671325683594,10584.533203125,0.0,1727915084329.035,0.0
3.0,18614.732421875,3841.92919921875,22509.634765625,-800.438232421875,9874.8203125,8871.607421875,-156.84217834472656,10586.0751953125,0.0,1727915084332.835,0.0
4.0,18613.390625,3840.655029296875,22508.96484375,-799.0300903320312,9876.8994140625,8871.80859375,-264.1976013183594,10585.8740234375,0.0,1727915084336.938,0.0
5.0,18613.994140625,3841.459716796875,22508.025390625,-797.08544921875,9880.453125,8875.3623046875,-335.276123046875,10589.2939453125,0.0,1727915084340.648,0.0
6.0,18615.73828125,3843.13623046875,22510.373046875,-797.6218872070312,9882.1298828125,8879.3857421875,-240.6612091064453,10594.79296875,0.0,1727915084344.814,0.0
7.0,18615.46875,3843.806640625,22507.556640625,-798.7618408203125,9882.0625,8882.0009765625,-138.87136840820312,10595.59765625,0.0,1727915084348.442,0.0
8.0,18612.787109375,3844.074951171875,22506.349609375,-798.09130859375,9882.263671875,8881.330078125,-199.7575225830078,10593.1162109375,0.0,1727915084352.537,0.0
9.0,18612.25,3844.41015625,22508.896484375,-798.49365234375,9881.861328125,8883.2080078125,-316.634765625,10591.841796875,0.0,1727915084356.594,0.0
10.0,18612.5859375,3845.080810546875,22512.3828125,-799.5665283203125,9879.984375,8886.2255859375,-268.0197448730469,10591.9765625,0.0,1727915084360.155,0.0
11.0,18611.244140625,3842.264404296875,22514.865234375,-801.041748046875,9877.771484375,8884.75,-147.45443725585938,10591.1044921875,0.0,1727915084364.318,0.0
12.0,18608.427734375,3838.71044921875,22525.794921875,-803.0534057617188,9874.2841796875,8884.34765625,-171.7284393310547,10587.8857421875,0.0,1727915084367.924,0.0
13.0,18605.544921875,3837.168212890625,22533.169921875,-803.8580322265625,9873.2109375,8885.353515625,-300.00506591796875,10585.2705078125,0.0,1727915084372.016,0.0
14.0,18607.220703125,3839.11279296875,22538.53515625,-805.132080078125,9873.0771484375,8887.8349609375,-297.65814208984375,10587.4169921875,0.0,1727915084376.104,0.0
15.0,18610.91015625,3841.92919921875,22542.826171875,-805.6015014648438,9873.14453125,8890.9189453125,-165.15701293945312,10591.1044921875,0.0,1727915084379.732,0.0
16.0,18611.3125,3841.12451171875,22544.033203125,-805.8026733398438,9873.412109375,8891.4560546875,-134.781005859375,10591.9765625,0.0,1727915084383.84,0.0
17.0,18607.69140625,3839.11279296875,22544.837890625,-808.7530517578125,9872.40625,8888.103515625,-253.8040313720703,10585.8740234375,0.0,1727915084387.48,0.0
18.0,18607.892578125,3841.191650390625,22546.24609375,-809.4236450195312,9872.943359375,8890.5166015625,-306.9117736816406,10586.2099609375,0.0,1727915084391.571,0.0
19.0,18610.373046875,3843.471435546875,22544.435546875,-810.9658813476562,9871.0654296875,8894.607421875,-203.244384765625,10587.8857421875,0.0,1727915084395.216,0.0
20.0,18608.8984375,3843.53857421875,22544.5703125,-812.9105224609375,9868.2490234375,8894.2724609375,-121.63817596435547,10584.6669921875,0.0,1727915084399.315,0.0
21.0,18603.064453125,3840.386962890625,22542.021484375,-814.7880249023438,9864.8291015625,8884.146484375,-206.59715270996094,10577.693359375,0.0,1727915084403.428,0.0
22.0,18604.5390625,3841.52685546875,22541.888671875,-812.5081787109375,9867.109375,8881.12890625,-306.4423828125,10578.3642578125,0.0,1727915084407.084,0.0
23.0,18609.03125,3843.203125,22545.978515625,-809.7589111328125,9868.919921875,8883.275390625,-235.229736328125,10583.5947265625,0.0,1727915084411.184,0.0
24.0,18612.18359375,3844.343017578125,22547.923828125,-808.2166137695312,9869.7919921875,8887.56640625,-128.3437042236328,10586.8798828125,0.0,1727915084414.854,0.0
