0,1,2,3,4,5,6,7,8,9,10,11
0.0,25538.18359375,-284.1800537109375,33221.640625,19959.189453125,23887.283203125,27186.736328125,10629.7958984375,44840.09765625,0.0,1729392252111.642,0.0
1.0,25556.69140625,-154.02584838867188,33222.578125,19961.40234375,23889.36328125,27188.61328125,10631.5390625,44946.84765625,0.0,1729392252115.308,0.0
2.0,25559.841796875,61.35552978515625,33224.0546875,19964.3515625,23893.654296875,27196.056640625,10636.9033203125,45041.6640625,0.0,1729392252119.068,0.0
3.0,25561.51953125,-34.66755294799805,33222.4453125,19963.212890625,23892.044921875,27200.68359375,10637.373046875,44946.11328125,0.0,1729392252123.165,0.0
4.0,25553.337890625,-267.2821350097656,33222.7109375,19959.724609375,23888.15625,27196.19140625,10632.8798828125,44831.11328125,0.0,1729392252127.195,0.0
5.0,25559.306640625,-223.2268524169922,33224.9921875,19959.658203125,23888.826171875,27197.263671875,10634.4892578125,44883.21484375,0.0,1729392252131.012,0.0
6.0,25577.6796875,11.935830116271973,33227.80859375,19961.603515625,23890.904296875,27201.556640625,10638.580078125,44982.12109375,0.0,1729392252134.717,0.0
7.0,25578.08203125,28.431415557861328,33227.2734375,19963.8828125,23892.3125,27207.5234375,10640.658203125,44952.6171875,0.0,1729392252138.877,0.0
8.0,25561.384765625,-236.4367218017578,33227.40625,19965.759765625,23895.0625,27211.48046875,10641.59765625,44825.27734375,0.0,1729392252142.562,0.0
9.0,25563.396484375,-271.908935546875,33230.7578125,19966.36328125,23895.3984375,27216.77734375,10646.08984375,44841.57421875,0.0,1729392252146.735,0.0
10.0,25572.716796875,-50.55963897705078,33234.37890625,19967.236328125,23896.203125,27225.29296875,10653.80078125,44966.2265625,0.0,1729392252150.505,0.0
11.0,25580.09375,62.22724914550781,33236.19140625,19969.314453125,23897.275390625,27227.3046875,10658.025390625,44989.5625,0.0,1729392252154.288,0.0
12.0,25569.095703125,-170.3873291015625,33233.57421875,19969.783203125,23894.66015625,27226.03125,10655.6787109375,44843.25,0.0,1729392252158.407,0.0
13.0,25566.34765625,-283.9788818359375,33230.4921875,19970.3203125,23895.3984375,27228.84765625,10654.4716796875,44810.99609375,0.0,1729392252162.122,0.0
14.0,25578.751953125,-112.45161437988281,33231.69921875,19971.59375,23898.75,27233.072265625,10656.349609375,44934.109375,0.0,1729392252166.285,0.0
15.0,25585.79296875,75.2359619140625,33235.05078125,19971.259765625,23898.548828125,27237.4296875,10654.94140625,45007.66796875,0.0,1729392252169.944,0.0
16.0,25566.548828125,-87.7752914428711,33234.11328125,19972.130859375,23899.0859375,27236.021484375,10653.2646484375,44892.87109375,0.0,1729392252173.759,0.0
17.0,25550.455078125,-274.12176513671875,33235.453125,19973.806640625,23900.091796875,27233.40625,10654.740234375,44817.76953125,0.0,1729392252177.964,0.0
18.0,25570.1015625,-151.20953369140625,33240.75,19975.013671875,23901.43359375,27238.705078125,10657.7578125,44916.47265625,0.0,1729392252181.64,0.0
19.0,25582.5078125,78.92400360107422,33242.828125,19975.484375,23900.359375,27241.7890625,10658.4951171875,45031.13671875,0.0,1729392252185.836,0.0
20.0,25563.53125,0.8046627044677734,33242.2265625,19974.544921875,23898.6171875,27237.564453125,10654.740234375,44963.27734375,0.0,1729392252189.554,0.0
21.0,25540.865234375,-252.3288116455078,33241.7578125,19973.5390625,23898.548828125,27235.41796875,10653.6669921875,44840.296875,0.0,1729392252193.687,0.0
22.0,25555.484375,-222.28807067871094,33246.5859375,19971.259765625,23897.87890625,27249.09765625,10657.623046875,44885.42578125,0.0,1729392252197.45,0.0
23.0,25592.900390625,22.731721878051758,33253.9609375,19971.4609375,23896.939453125,27258.888671875,10661.1103515625,44994.19140625,0.0,1729392252201.365,0.0
24.0,25577.076171875,56.92988586425781,33248.59765625,19971.326171875,23894.861328125,27254.998046875,10658.830078125,44958.71875,0.0,1729392252205.111,0.0
25.0,25556.958984375,-202.23855590820312,33244.37109375,19973.001953125,23896.671875,27251.98046875,10657.82421875,44814.34765625,0.0,1729392252209.295,0.0
26.0,25572.046875,-271.5066223144531,33246.5859375,19974.34375,23899.220703125,27254.529296875,10659.2998046875,44826.1484375,0.0,1729392252212.976,0.0
27.0,25589.548828125,-41.77540588378906,33249.0,19972.599609375,23897.0078125,27249.5,10658.4951171875,44957.7109375,0.0,1729392252217.086,0.0
28.0,25581.43359375,93.81025695800781,33247.390625,19970.052734375,23891.306640625,27246.146484375,10652.6611328125,44992.78125,0.0,1729392252220.8,0.0
29.0,25557.62890625,-145.97923278808594,33243.96875,19969.44921875,23887.41796875,27244.134765625,10645.6875,44866.25,0.0,1729392252224.95,0.0
30.0,25547.90625,-299.4015808105469,33242.359375,19969.44921875,23887.150390625,27240.91796875,10643.2734375,44824.2734375,0.0,1729392252228.716,0.0
31.0,25555.21484375,-138.20082092285156,33246.25,19970.65625,23889.294921875,27244.068359375,10647.6318359375,44935.44921875,0.0,1729392252232.465,0.0
0.0,25566.4140625,65.04357147216797,33249.53515625,19971.52734375,23890.63671875,27247.15234375,10648.90625,45000.89453125,0.0,1729392252236.347,0.0
1.0,25556.35546875,-83.8860855102539,33248.73046875,19972.265625,23890.63671875,27245.611328125,10644.9501953125,44888.84765625,0.0,1729392252240.534,0.0
