512,0,2
1024,0,3
1536,0,1
2049,0,3
2561,0,1
3073,0,3
3586,0,1
4098,0,3
4610,0,1
5122,0,3
5635,0,1
6147,0,3
6659,0,2
7172,0,3
7684,0,2
8196,0,3
8709,0,1
9221,0,3
9733,0,2
10246,0,3
10758,0,1
11270,0,3
11782,0,1
12295,0,3
12807,0,2
13319,0,3
13831,0,2
14344,0,3
14856,0,1
15368,0,3
15881,0,2
16393,0,3
16905,0,1
17417,0,3
17930,0,2
18442,0,3
18954,0,1
19467,0,3
19979,0,2
20491,0,3
21003,0,1
21516,0,3
22028,0,1
22540,0,3
23053,0,1
23565,0,3
24077,0,2
24589,0,3
25102,0,2
25614,0,3
26126,0,2
26639,0,3
27151,0,1
27663,0,3
28175,0,2
28688,0,3
29200,0,2
29712,0,3
30225,0,2
30737,0,3
