512,0,1
1025,0,1
1537,0,1
2049,0,1
2562,0,1
3074,0,1
3587,0,1
4099,0,1
4612,0,1
5125,0,1
5638,0,1
6150,0,1
6663,0,1
7175,0,1
7688,0,1
8201,0,1
8715,0,1
9227,0,1
9740,0,1
10252,0,1
10765,0,1
11278,0,1
11790,0,1
12303,0,1
12816,0,1
13328,0,1
13843,0,1
14356,0,1
14868,0,1
15381,0,1
15894,0,1
16406,0,1
16919,0,1
17431,0,1
17944,0,1
18457,0,1
18969,0,1
19483,0,1
19995,0,1
20508,0,1
21020,0,1
21534,0,1
22046,0,1
22558,0,1
23071,0,1
23583,0,1
24096,0,1
24608,0,1
25125,0,1
25640,0,1
26153,0,1
26667,0,1
27184,0,1
27696,0,1
28210,0,1
28722,0,1
29235,0,1
29749,0,1
30263,0,1
30778,0,1
