512,0,1
1024,0,3
1536,0,1
2048,0,3
2561,0,1
3073,0,3
3585,0,2
4097,0,3
4610,0,1
5122,0,3
5634,0,2
6146,0,3
6659,0,2
7171,0,3
7683,0,2
8195,0,3
8708,0,2
9220,0,3
9732,0,1
10245,0,3
10757,0,1
11269,0,3
11781,0,2
12294,0,3
12806,0,2
13318,0,3
13830,0,2
14343,0,3
14855,0,2
15367,0,3
15879,0,2
16392,0,3
16904,0,1
17416,0,3
17928,0,1
18441,0,3
18953,0,2
19465,0,3
19977,0,1
20490,0,3
21002,0,2
21514,0,3
22026,0,1
22539,0,3
23051,0,2
23563,0,3
24075,0,1
24588,0,3
25100,0,2
25612,0,3
26124,0,1
26637,0,3
27149,0,1
27661,0,3
28174,0,1
28686,0,3
29198,0,1
29711,0,3
30223,0,2
30735,0,3
